Алгоритм,Размер,ТипДанных,Время(мс),Кол-воСравнений
mergesort,1200,0,"2,6292",10800
t_quicksort,1200,0,"0,5094",0
msd_radix,1200,0,"3,9608",0
msd_hybrid,1200,0,"1,3578",0
lcp_mergesort,1200,0,"2,5966",10800
quicksort,1200,1,"1,4224",11350
mergesort,1200,1,"2,3416",5920
t_quicksort,1200,1,"0,4168",0
msd_radix,1200,1,"3,7714",0
msd_hybrid,1200,1,"1,3004",0
lcp_mergesort,1200,1,"2,4766",5920
quicksort,1200,2,"1,4664",11798
mergesort,1200,2,"2,472",9758
t_quicksort,1200,2,"0,4252",0
msd_radix,1200,2,"3,7394",0
msd_hybrid,1200,2,"1,275",0
lcp_mergesort,1200,2,"2,4964",9758
quicksort,1300,0,"2,1424",17291
mergesort,1300,0,"2,8012",11845
t_quicksort,1300,0,"0,5112",0
msd_radix,1300,0,"4,1178",0
msd_hybrid,1300,0,"1,4498",0
lcp_mergesort,1300,0,"2,8574",11845
quicksort,1300,1,"1,6724",12550
mergesort,1300,1,"2,587",6480
t_quicksort,1300,1,"0,384",0
msd_radix,1300,1,"3,9316",0
msd_hybrid,1300,1,"1,359",0
lcp_mergesort,1300,1,"2,4698",6480
quicksort,1300,2,"1,5348",12815
mergesort,1300,2,"2,7306",10903
t_quicksort,1300,2,"0,4492",0
msd_radix,1300,2,"4,1348",0
msd_hybrid,1300,2,"1,4276",0
lcp_mergesort,1300,2,"2,6364",10903
quicksort,1400,0,"2,3426",20002
mergesort,1400,0,"3,0692",12827
t_quicksort,1400,0,"0,7626",0
msd_radix,1400,0,"4,8074",0
msd_hybrid,1400,0,"1,7896",0
lcp_mergesort,1400,0,"3,1994",12827
quicksort,1400,1,"1,8916",13750
mergesort,1400,1,"2,9832",7044
t_quicksort,1400,1,"0,4536",0
msd_radix,1400,1,"5,8968",0
msd_hybrid,1400,1,"1,6828",0
lcp_mergesort,1400,1,"5,6092",7044
quicksort,1400,2,"2,041",13835
mergesort,1400,2,"3,1888",11758
t_quicksort,1400,2,"3,5026",0
msd_radix,1400,2,"5,0578",0
msd_hybrid,1400,2,"1,797",0
lcp_mergesort,1400,2,"3,4342",11758
quicksort,1500,0,"5,3132",23193
mergesort,1500,0,"4,9742",13978
t_quicksort,1500,0,"1,528",0
msd_radix,1500,0,"5,2138",0
msd_hybrid,1500,0,"1,9304",0
lcp_mergesort,1500,0,"3,3326",13978
quicksort,1500,1,"1,9864",14950
mergesort,1500,1,"2,9854",7664
t_quicksort,1500,1,"0,4538",0
msd_radix,1500,1,"4,6262",0
msd_hybrid,1500,1,"1,6012",0
lcp_mergesort,1500,1,"3,0554",7664
quicksort,1500,2,"1,9584",15402
mergesort,1500,2,"3,1286",12451
t_quicksort,1500,2,"0,5102",0
msd_radix,1500,2,"4,8512",0
msd_hybrid,1500,2,"1,6538",0
lcp_mergesort,1500,2,"3,261",12451
quicksort,1600,0,"2,6258",23533
mergesort,1600,0,"3,6808",15028
t_quicksort,1600,0,"0,8142",0
msd_radix,1600,0,"5,3996",0
msd_hybrid,1600,0,"1,8232",0
lcp_mergesort,1600,0,"3,7546",15028
quicksort,1600,1,"2,077",16018
mergesort,1600,1,"3,6238",8256
t_quicksort,1600,1,"0,5428",0
msd_radix,1600,1,"4,9626",0
msd_hybrid,1600,1,"1,6238",0
lcp_mergesort,1600,1,"3,307",8256
quicksort,1600,2,"2,9528",16111
mergesort,1600,2,"3,3888",13691
t_quicksort,1600,2,"0,5756",0
msd_radix,1600,2,"5,003",0
msd_hybrid,1600,2,"1,6866",0
lcp_mergesort,1600,2,"3,4924",13691
quicksort,1700,0,"2,674",24142
mergesort,1700,0,"3,7658",16127
t_quicksort,1700,0,"0,7718",0
msd_radix,1700,0,"5,6906",0
msd_hybrid,1700,0,"1,899",0
lcp_mergesort,1700,0,"3,9808",16127
quicksort,1700,1,"2,1258",17018
mergesort,1700,1,"3,5952",8836
t_quicksort,1700,1,"0,5132",0
msd_radix,1700,1,"5,3536",0
msd_hybrid,1700,1,"1,7594",0
lcp_mergesort,1700,1,"3,5232",8836
quicksort,1700,2,"2,1684",17472
mergesort,1700,2,"3,751",14607
t_quicksort,1700,2,"0,6346",0
msd_radix,1700,2,"5,414",0
msd_hybrid,1700,2,"1,7152",0
lcp_mergesort,1700,2,"3,633",14607
quicksort,1800,0,"2,8644",26183
mergesort,1800,0,"4,0492",17228
t_quicksort,1800,0,"0,8292",0
msd_radix,1800,0,"5,8606",0
msd_hybrid,1800,0,"2,0222",0
lcp_mergesort,1800,0,"4,1654",17228
quicksort,1800,1,"2,2062",18018
mergesort,1800,1,"3,8108",9508
t_quicksort,1800,1,"0,5758",0
msd_radix,1800,1,"5,745",0
msd_hybrid,1800,1,"1,8224",0
lcp_mergesort,1800,1,"3,744",9508
quicksort,1800,2,"2,1394",18243
mergesort,1800,2,"3,7828",15588
t_quicksort,1800,2,"0,719",0
msd_radix,1800,2,"5,8122",0
msd_hybrid,1800,2,"1,8236",0
lcp_mergesort,1800,2,"3,9644",15588
quicksort,1900,0,"3,0602",26903
mergesort,1900,0,"4,458",18331
t_quicksort,1900,0,"0,9086",0
msd_radix,1900,0,"6,072",0
msd_hybrid,1900,0,"2,1378",0
lcp_mergesort,1900,0,"4,2076",18331
quicksort,1900,1,"2,1376",19018
mergesort,1900,1,"3,9604",10144
t_quicksort,1900,1,"0,6032",0
msd_radix,1900,1,"5,9254",0
msd_hybrid,1900,1,"2,0522",0
lcp_mergesort,1900,1,"3,9088",10144
quicksort,1900,2,"2,3942",19405
mergesort,1900,2,"4,0398",16284
t_quicksort,1900,2,"0,6734",0
msd_radix,1900,2,"6,1494",0
msd_hybrid,1900,2,"2,0024",0
lcp_mergesort,1900,2,"4,2194",16284
quicksort,2000,0,"3,3498",32834
mergesort,2000,0,"4,658",19462
t_quicksort,2000,0,"1,0948",0
msd_radix,2000,0,"6,446",0
msd_hybrid,2000,0,"2,2192",0
lcp_mergesort,2000,0,"4,7462",19462
quicksort,2000,1,"2,2258",20018
mergesort,2000,1,"4,148",10864
t_quicksort,2000,1,"0,6362",0
msd_radix,2000,1,"6,3598",0
msd_hybrid,2000,1,"2,0768",0
lcp_mergesort,2000,1,"4,04",10864
quicksort,2000,2,"2,3642",20346
mergesort,2000,2,"4,4822",17293
t_quicksort,2000,2,"0,6974",0
msd_radix,2000,2,"6,3346",0
msd_hybrid,2000,2,"1,9842",0
lcp_mergesort,2000,2,"4,2546",17293
quicksort,2100,0,"3,5386",34968
mergesort,2100,0,"4,8924",20535
t_quicksort,2100,0,"1,0188",0
msd_radix,2100,0,"6,8504",0
msd_hybrid,2100,0,"2,3142",0
lcp_mergesort,2100,0,"5,1674",20535
quicksort,2100,1,"2,3372",21180
mergesort,2100,1,"4,5144",11456
t_quicksort,2100,1,"0,66",0
msd_radix,2100,1,"6,7018",0
msd_hybrid,2100,1,"2,1478",0
lcp_mergesort,2100,1,"4,2856",11456
quicksort,2100,2,"2,4264",21580
mergesort,2100,2,"4,4968",18406
